[etiya-devops@ip-10-94-160-62 ~]$ kubectl get service -A
NAMESPACE                    NAME                                                       TYPE           CLUSTER-IP       EXTERNAL-IP                                                           PORT(S)                                                                            AGE
bss-devops                   argocd-applicationset-controller                           ClusterIP      172.20.1.98      <none>                                                                7000/TCP                                                                            121d
bss-devops                   argocd-dex-server                                          ClusterIP      172.20.21.7      <none>                                                                5556/TCP,5557/TCP                                                                            121d
bss-devops                   argocd-redis                                               ClusterIP      172.20.15.26     <none>                                                                6379/TCP                                                                            121d
bss-devops                   argocd-repo-server                                         ClusterIP      172.20.163.182   <none>                                                                8081/TCP                                                                            121d
bss-devops                   argocd-server                                              ClusterIP      172.20.201.170   <none>                                                                80/TCP,443/TCP                                                                            121d
bss-prod-eks-monitoring      alertmanager-operated                                      ClusterIP      None             <none>                                                                9093/TCP,9094/TCP,9094/UDP                                                                            28d
bss-prod-eks-monitoring      alloy                                                      ClusterIP      172.20.1.26      <none>                                                                12345/TCP,4318/TCP,4317/TCP                                                                            104d
bss-prod-eks-monitoring      alloy-frontend                                             ClusterIP      172.20.132.238   <none>                                                                12345/TCP,12347/TCP                                                                            90d
bss-prod-eks-monitoring      blackbox-exporter-prometheus-blackbox-exporter             ClusterIP      172.20.68.13     <none>                                                                9115/TCP                                                                            31d
bss-prod-eks-monitoring      elasticsearch-exporter-prometheus-elasticsearch-exporter   ClusterIP      172.20.68.46     <none>                                                                9108/TCP                                                                            31d
bss-prod-eks-monitoring      fluent-bit                                                 ClusterIP      172.20.36.8      <none>                                                                2020/TCP                                                                            104d
bss-prod-eks-monitoring      fluent-bit-siem                                            ClusterIP      172.20.159.2     <none>                                                                2020/TCP                                                                            33d
bss-prod-eks-monitoring      grafana                                                    ClusterIP      172.20.119.62    <none>                                                                80/TCP                                                                            104d
bss-prod-eks-monitoring      grafana-headless                                           ClusterIP      None             <none>                                                                9094/TCP                                                                            104d
bss-prod-eks-monitoring      grafana-operator-metrics-service                           ClusterIP      172.20.236.77    <none>                                                                9090/TCP,8888/TCP                                                                            104d
bss-prod-eks-monitoring      kafka-exp-em-global-prod-3pp                               ClusterIP      172.20.28.199    <none>                                                                9308/TCP                                                                            31d
bss-prod-eks-monitoring      kafka-monitoring                                           ClusterIP      172.20.235.113   <none>                                                                9092/TCP,9095/TCP                                                                            84d
bss-prod-eks-monitoring      kafka-monitoring-0-external                                LoadBalancer   172.20.127.131   kafka-int-nlb-em-prod-7a720540820a9110.elb.eu-west-1.amazonaws.com    9094:31100/TCP                                                                            24d
bss-prod-eks-monitoring      kafka-monitoring-headless                                  ClusterIP      None             <none>                                                                9092/TCP,9094/TCP                                                                            84d
bss-prod-eks-monitoring      kafka-monitoring-ui                                        ClusterIP      172.20.99.83     <none>                                                                80/TCP                                                                            84d
bss-prod-eks-monitoring      kafka-monitoring-zookeeper                                 ClusterIP      172.20.139.187   <none>                                                                2181/TCP,2888/TCP,3888/TCP                                                                            84d
bss-prod-eks-monitoring      kafka-monitoring-zookeeper-headless                        ClusterIP      None             <none>                                                                2181/TCP,2888/TCP,3888/TCP                                                                            84d
bss-prod-eks-monitoring      kube-prometheus-stack-alertmanager                         ClusterIP      172.20.78.220    <none>                                                                9093/TCP,8080/TCP                                                                            104d
bss-prod-eks-monitoring      kube-prometheus-stack-kube-state-metrics                   ClusterIP      172.20.6.112     <none>                                                                8080/TCP                                                                            104d
bss-prod-eks-monitoring      kube-prometheus-stack-operator                             ClusterIP      172.20.19.97     <none>                                                                443/TCP                                                                            104d
bss-prod-eks-monitoring      kube-prometheus-stack-prometheus                           ClusterIP      172.20.146.67    <none>                                                                9090/TCP,8080/TCP                                                                            104d
bss-prod-eks-monitoring      kube-prometheus-stack-prometheus-node-exporter             ClusterIP      172.20.157.74    <none>                                                                9100/TCP                                                                            104d
bss-prod-eks-monitoring      kubecost-aggregator                                        ClusterIP      172.20.167.40    <none>                                                                9004/TCP,9363/TCP                                                                            55d
bss-prod-eks-monitoring      kubecost-cloud-cost                                        ClusterIP      172.20.132.247   <none>                                                                9005/TCP                                                                            55d
bss-prod-eks-monitoring      kubecost-cluster-controller-service                        ClusterIP      172.20.140.97    <none>                                                                9732/TCP                                                                            55d
bss-prod-eks-monitoring      kubecost-finops-agent                                      ClusterIP      172.20.100.204   <none>                                                                80/TCP                                                                            55d
bss-prod-eks-monitoring      kubecost-forecasting                                       ClusterIP      172.20.237.197   <none>                                                                5000/TCP                                                                            55d
bss-prod-eks-monitoring      kubecost-frontend                                          ClusterIP      172.20.18.35     <none>                                                                9090/TCP                                                                            55d
bss-prod-eks-monitoring      kubecost-local-store                                       ClusterIP      172.20.215.12    <none>                                                                9006/TCP                                                                            55d
bss-prod-eks-monitoring      kubecost-network-costs                                     ClusterIP      None             <none>                                                                3001/TCP                                                                            55d
bss-prod-eks-monitoring      logbook-service-bss-logbook                                ClusterIP      172.20.231.104   <none>                                                                8080/TCP                                                                            84d
bss-prod-eks-monitoring      loki-backend                                               ClusterIP      172.20.202.227   <none>                                                                3100/TCP,9095/TCP                                                                            104d
bss-prod-eks-monitoring      loki-backend-headless                                      ClusterIP      None             <none>                                                                3100/TCP,9095/TCP                                                                            104d
bss-prod-eks-monitoring      loki-gateway                                               ClusterIP      172.20.101.239   <none>                                                                80/TCP                                                                            104d
bss-prod-eks-monitoring      loki-memberlist                                            ClusterIP      None             <none>                                                                7946/TCP                                                                            104d
bss-prod-eks-monitoring      loki-query-scheduler-discovery                             ClusterIP      None             <none>                                                                3100/TCP,9095/TCP                                                                            104d
bss-prod-eks-monitoring      loki-read                                                  ClusterIP      172.20.92.124    <none>                                                                3100/TCP,9095/TCP                                                                            104d
bss-prod-eks-monitoring      loki-read-headless                                         ClusterIP      None             <none>                                                                3100/TCP,9095/TCP                                                                            104d
bss-prod-eks-monitoring      loki-write                                                 ClusterIP      172.20.77.9      <none>                                                                3100/TCP,9095/TCP                                                                            104d
bss-prod-eks-monitoring      loki-write-headless                                        ClusterIP      None             <none>                                                                3100/TCP,9095/TCP                                                                            104d
bss-prod-eks-monitoring      postgres-exporter-prometheus-postgres-exporter             ClusterIP      172.20.33.204    <none>                                                                80/TCP                                                                            31d
bss-prod-eks-monitoring      prometheus-operated                                        ClusterIP      None             <none>                                                                9090/TCP                                                                            104d
bss-prod-eks-monitoring      redis-exporter-prometheus-redis-exporter                   ClusterIP      172.20.108.30    <none>                                                                9121/TCP                                                                            46h
bss-prod-eks-monitoring      tempo                                                      ClusterIP      172.20.55.226    <none>                                                                6831/UDP,6832/UDP,3200/TCP,9095/TCP,7946/TCP,14268/TCP,14250/TCP,9411/TCP,55680/TCP,55681/TCP,4317/TCP,4318/TCP,55678/TCP   104d
